species_guid,plant_parts,pest_stage,visibility_type,spreading_way
7ed5b11e-c8cb-4e15-be99-fd9b442b3fb7,果实（包括果柄）,,不可见,
7ed5b11e-c8cb-4e15-be99-fd9b442b3fb7,根,,不可见,
7f4d080f-b414-4781-bec6-e0db0ba44ba5,全株,,,
62bb0bb3-7c26-4b76-bd45-ecf08080cf4a,全株,,,
d81a8363-a253-427c-996b-69c4c8fd9fcd,种子,,,
d81a8363-a253-427c-996b-69c4c8fd9fcd,种苗;组培苗,,,
d81a8363-a253-427c-996b-69c4c8fd9fcd,叶,,,
d81a8363-a253-427c-996b-69c4c8fd9fcd,茎;枝;芽,,,
d81a8363-a253-427c-996b-69c4c8fd9fcd,花,,,
d81a8363-a253-427c-996b-69c4c8fd9fcd,根,,,
eafa72e6-f8fe-4a08-87c8-49fad84a706f,叶,,,
fa5640db-ac0e-458a-885a-979c4be6e973,种子,,,
fa5640db-ac0e-458a-885a-979c4be6e973,种苗;组培苗,,,
fa5640db-ac0e-458a-885a-979c4be6e973,叶,,,
fa5640db-ac0e-458a-885a-979c4be6e973,茎;枝;芽,,,
fa5640db-ac0e-458a-885a-979c4be6e973,花,,,
fa5640db-ac0e-458a-885a-979c4be6e973,果实（包括果柄）,,,
fa5640db-ac0e-458a-885a-979c4be6e973,根,,,
304ef50d-712c-42ea-8dda-a1a4f1fafaab,全株,,,
93bfb8fd-9f83-4686-8f7d-4eb80c25bf2f,种子,,,
93bfb8fd-9f83-4686-8f7d-4eb80c25bf2f,种苗;组培苗,,,
93bfb8fd-9f83-4686-8f7d-4eb80c25bf2f,叶,,,
93bfb8fd-9f83-4686-8f7d-4eb80c25bf2f,茎;枝;芽,,,
93bfb8fd-9f83-4686-8f7d-4eb80c25bf2f,花,,,
93bfb8fd-9f83-4686-8f7d-4eb80c25bf2f,根,,,
4d9aca56-7d81-4634-995c-79e24a3fc08a,叶,,,
dea42391-f1c7-415a-8107-c6d519cc276a,叶,,,
ce8a1db7-c6e6-42a7-a3c0-b3387ec80ed6,种子,,,
ce8a1db7-c6e6-42a7-a3c0-b3387ec80ed6,种苗;组培苗,,,
ce8a1db7-c6e6-42a7-a3c0-b3387ec80ed6,叶,,,
ce8a1db7-c6e6-42a7-a3c0-b3387ec80ed6,茎;枝;芽,,,
ce8a1db7-c6e6-42a7-a3c0-b3387ec80ed6,花,,,
ce8a1db7-c6e6-42a7-a3c0-b3387ec80ed6,果实（包括果柄）,,,
ce8a1db7-c6e6-42a7-a3c0-b3387ec80ed6,根,,,
93c90023-bc4c-4a55-83c3-a80c62d99887,种子,,,
93c90023-bc4c-4a55-83c3-a80c62d99887,种苗;组培苗,,,
93c90023-bc4c-4a55-83c3-a80c62d99887,叶,,,
93c90023-bc4c-4a55-83c3-a80c62d99887,茎;枝;芽,,,
93c90023-bc4c-4a55-83c3-a80c62d99887,花,,,
93c90023-bc4c-4a55-83c3-a80c62d99887,果实（包括果柄）,,,
93c90023-bc4c-4a55-83c3-a80c62d99887,根,,,
975567b0-4cbb-40d8-bb15-18ea838e1fd1,叶,,,
a2a08b9f-422e-4c26-9110-850c384cea9d,叶,,,
94e02c8d-6892-4aae-bc55-28af1d2a91f2,种子,,,
94e02c8d-6892-4aae-bc55-28af1d2a91f2,种苗;组培苗,,,
94e02c8d-6892-4aae-bc55-28af1d2a91f2,叶,,,
94e02c8d-6892-4aae-bc55-28af1d2a91f2,茎;枝;芽,,,
94e02c8d-6892-4aae-bc55-28af1d2a91f2,花,,,
94e02c8d-6892-4aae-bc55-28af1d2a91f2,果实（包括果柄）,,,
